id,vessel,type,subtype,media_count,source_media_mib,local_assets,desktop_focus,specific_issues,editorial_review,mobile_focus
"B-0155","scrap","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0156","review-card","thing","review","1","0.12","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0157","media-card","thing","inspiration","2","1.63","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0158","media-card","thing","inspiration","3","0.87","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0159","media-card","thing","inspiration","1","4.28","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0160","media-card","thing","inspiration","1","0.03","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0161","media-card","thing","inspiration","1","0.50","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0162","film-strip","memory","photograph","3","14.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0163","media-card","thing","inspiration","1","0.23","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0164","review-card","thing","review","1","0.48","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0165","journal","thought","journal","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0166","sticky-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0167","plain-note","thought","note","0","0.00","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
"B-0168","floating","thing","interactive","0","0.00","all present","opened; no horizontal overflow","Fabricated date fallback Aug 2026","Large decorative flower is first by sort fallback; date and initial prominence not deliberate curation.","horizontal overflow"
"B-0171","display-case","thing","project","3","5.56","all present","opened; no horizontal overflow","","Hardcoded grid aspect exception and large letterbox in gallery; media framing belongs in shared metadata.","opened; no horizontal overflow"
"B-0172","display-case","thing","object","1","0.46","all present","opened; no horizontal overflow","","No additional object-specific issue identified; shared issues still apply.","opened; no horizontal overflow"
